Observation,Weight,Length,Width
1,5.9,8.8,1.4
2,32,14.7,2
3,40,16,2.4
4,51.5,17.2,2.6
5,70,18.5,2.9
6,100,19.2,3.3
7,78,19.4,3.1
8,80,20.2,3.1
9,85,20.8,3
10,85,21,2.8
11,110,22.5,3.6
12,115,22.5,3.3
13,125,22.5,3.7
14,130,22.8,3.5
15,120,23.5,3.4
16,120,23.5,3.5
17,130,23.5,3.5
18,135,23.5,3.5
19,110,23.5,4
20,130,24,3.6
21,150,24,3.6
22,145,24.2,3.6
23,150,24.5,3.6
24,170,25,3.7
25,225,25.5,3.7
26,145,25.5,3.8
27,188,26.2,4.2
28,180,26.5,3.7
29,197,27,4.2
30,218,28,4.1
31,300,28.7,5.1
32,260,28.9,4.3
33,265,28.9,4.3
34,250,28.9,4.6
35,250,29.4,4.2
36,300,30.1,4.6
37,320,31.6,4.8
38,514,34,6
39,556,36.5,6.4
40,840,37.3,7.8
41,685,39,6.9
42,700,38.3,6.7
43,700,39.4,6.3
44,690,39.3,6.4
45,900,41.4,7.5
46,650,41.4,6
47,820,41.3,7.4
48,850,42.3,7.1
49,900,42.5,7.2
50,1015,42.4,7.5
51,820,42.5,6.6
52,1100,44.6,6.9
53,1000,45.2,7.3
54,1100,45.5,7.4
55,1000,46,8.1
56,1000,46.6,7.6
